სხვა სკოლა,აბაშა
წყემის საჯარო,აბაშა
კეთილარის საჯარო,აბაშა
სამიქაოს საჯარო,აბაშა
მაიდნის საჯარო,აბაშა
ტყვირის საჯარო,აბაშა
სეფიეთის საჯარო,აბაშა
კონსტანტინე გამსახურდიას სახელობის    ძველი  საჯარო,აბაშა
№2 საჯარო,აბაშა
ნაესაკოვოს საჯარო,აბაშა
კვათანის საჯარო,აბაშა
მარანის საჯარო,აბაშა
ონტოფოს საჯარო,აბაშა
ქოლობნის საჯარო,აბაშა
ეწერის საჯარო,აბაშა
გეზათის საჯარო,აბაშა
საგვაზავოს საჯარო,აბაშა
სუჯუნის საჯარო,აბაშა
განათლებისკარის საჯარო,აბაშა
გაუწყინარის საჯარო,აბაშა
ნოღოხაშის საჯარო,აბაშა
№1 საჯარო,აბაშა
პირველი მაისის საჯარო,აბაშა
ზანათის საჯარო,აბაშა
სპს  დაგმარა ცანავა ხელოსანი 95,აბაშა
მაცხოვრისკარის საჯარო,აბაშა
3,აბაშა
სწავლის ძირი,აბაშა
სხვა,ადიგენი
აბასთუმნის საჯარო სკოლა,ადიგენი
აბასთუმნის საჯარო სკოლა,ადიგენი
არლის საჯარო სკოლა,ადიგენი
ბენარის საჯარო სკოლა,ადიგენი
ბოლაჯურის საჯარო სკოლა,ადიგენი
გომაროს საჯარო სკოლა,ადიგენი
დაბა ადიგენის საჯარო სკოლა,ადიგენი
დერცელის საჯარო სკოლა,ადიგენი
დიდი სმადის საჯარო სკოლა,ადიგენი
ვარხანის საჯარო სკოლა,ადიგენი
ზანავის საჯარო სკოლა,ადიგენი
ზარზმის საჯარო სკოლა,ადიგენი
კახარეთის საჯარო სკოლა,ადიგენი
ლელოვნის საჯარო სკოლა,ადიგენი
მლაშის საჯარო სკოლა,ადიგენი
მოხის საჯარო სკოლა,ადიგენი
უდის №1 საჯარო სკოლა,ადიგენი
უდის №2 საჯარო სკოლა,ადიგენი
ფხეროს საჯარო სკოლა,ადიგენი
ქვემო ენთელის საჯარო სკოლა,ადიგენი
ღორთუბნის საჯარო სკოლა,ადიგენი
წახანის საჯარო სკოლა,ადიგენი
ჭელის საჯარო სკოლა,ადიგენი
ჭეჭლის საჯარო სკოლა,ადიგენი
ხევაშენის საჯარო სკოლა,ადიგენი
2,ადიგენი
ადიგენის,ადიგენი
იმერთუბნის,ადიგენი
იჯარეთის,ადიგენი
საჯარო,ადიგენი
ღორძეს,ადიგენი
სხვა,ამბროლაური
№1,ამბროლაური
№2,ამბროლაური
ბოსტანის საჯარო სკოლა,ამბროლაური
ბუგეულის საჯარო სკოლა,ამბროლაური
ველევის საჯარო სკოლა,ამბროლაური
თლუღის საჯარო სკოლა,ამბროლაური
კვაცხუთის საჯარო სკოლა,ამბროლაური
ლიხეთის საჯარო სკოლა,ამბროლაური
ნამანევის საჯარო სკოლა,ამბროლაური
ნიკორწმინდას საჯარო სკოლა,ამბროლაური
პატარა ონის საჯარო სკოლა,ამბროლაური
ჟოშხის საჯარო სკოლა,ამბროლაური
სადმელის საჯარო სკოლა,ამბროლაური
ტოლის საჯარო სკოლა,ამბროლაური
ურავის საჯარო სკოლა,ამბროლაური
ჩორჯოს საჯარო სკოლა,ამბროლაური
წესის საჯარო სკოლა,ამბროლაური
ჭელიაღელის საჯარო სკოლა,ამბროლაური
ჭრებალოს საჯარო სკოლა,ამბროლაური
ჭყვიშის საჯარო სკოლა,ამბროლაური
ხვანჭკარის საჯარო სკოლა,ამბროლაური
ხოტევის საჯარო სკოლა,ამბროლაური
მეორე ტოლის,ამბროლაური
სხვა,ასპინძა
აწყვიტის საჯარო სკოლა,ასპინძა
დაბა ასპინძის საჯარო სკოლა,ასპინძა
დამალის საჯარო სკოლა,ასპინძა
ზველის საჯარო სკოლა,ასპინძა
იდუმალის საჯარო სკოლა,ასპინძა
ივერიის საჯარო სკოლა,ასპინძა
მირაშხანის საჯარო სკოლა,ასპინძა
ნაქალაქევის საჯარო სკოლა,ასპინძა
ნიჯგორის საჯარო სკოლა,ასპინძა
ოთის საჯარო სკოლა,ასპინძა
ორგორის საჯარო სკოლა,ასპინძა
ოშორის საჯარო სკოლა,ასპინძა
რუსთავის საჯარო სკოლა,ასპინძა
საროს საჯარო სკოლა,ასპინძა
ტოლოშის საჯარო სკოლა,ასპინძა
ჭობარეთის საჯარო სკოლა,ასპინძა
ხერთვისის საჯარო სკოლა,ასპინძა
ხიზაბავრის საჯარო სკოლა,ასპინძა
2,ასპინძა
სხვა სკოლა,ახალქალაქი
ჩუნჩხის საჯარო,ახალქალაქი
ხანდოს საჯარო,ახალქალაქი
ზაკის საჯარო,ახალქალაქი
კუმურდოს საჯარო,ახალქალაქი
ორჯის საჯარო,ახალქალაქი
ხულგუმოს საჯარო,ახალქალაქი
გომანის საჯარო,ახალქალაქი
ვარე საჯარო,ახალქალაქი
დიდი სამსარის საჯარო,ახალქალაქი
კიროვაკანის საჯარო,ახალქალაქი
კოთელიის საჯარო,ახალქალაქი
აზმანის საჯარო,ახალქალაქი
ჩამდურის საჯარო,ახალქალაქი
დადეშის საჯარო,ახალქალაქი
მურჯახეთის საჯარო,ახალქალაქი
თახჩის საჯარო,ახალქალაქი
აგანის საჯარო,ახალქალაქი
ბარალეთის №2 საჯარო,ახალქალაქი
ალასტანის საჯარო,ახალქალაქი
სულდის საჯარო,ახალქალაქი
ილია ჭავჭავაძის სახელობის   №3 საჯარო,ახალქალაქი
ხორენიის საჯარო,ახალქალაქი
აზავრეთის საჯარო,ახალქალაქი
№2 საჯარო,ახალქალაქი
იხტილის საჯარო,ახალქალაქი
მოდეგამის საჯარო,ახალქალაქი
ოკამის №1 საჯარო,ახალქალაქი
"სეროფე ბენგოიანლევონიანის ,,ჯი” სახელობის    კარწახის საჯარო",ახალქალაქი
ლომატურცხის საჯარო,ახალქალაქი
ქარცეფის საჯარო,ახალქალაქი
ვაჩიანის საჯარო,ახალქალაქი
გოკიოს საჯარო,ახალქალაქი
ტურცხის საჯარო,ახალქალაქი
ხავეთის საჯარო,ახალქალაქი
№5 საჯარო,ახალქალაქი
ბავრის საჯარო,ახალქალაქი
კოჩიოს საჯარო,ახალქალაქი
ოლავერდის საჯარო,ახალქალაქი
ღადოლარის საჯარო,ახალქალაქი
ბალხოს საჯარო,ახალქალაქი
მარტუნის საჯარო,ახალქალაქი
მაჭატიის საჯარო,ახალქალაქი
პტენის საჯარო,ახალქალაქი
აფნიის საჯარო,ახალქალაქი
ბეჟანოს საჯარო,ახალქალაქი
ბოზალის საჯარო,ახალქალაქი
კულიკამის საჯარო,ახალქალაქი
№4 საჯარო,ახალქალაქი
არაგვის საჯარო,ახალქალაქი
№1 საჯარო,ახალქალაქი
გოგაშენის საჯარო,ახალქალაქი
კორხის საჯარო,ახალქალაქი
დილისკის №1 საჯარო,ახალქალაქი
მიასნიკიანის საჯარო,ახალქალაქი
ოკამის №2 საჯარო,ახალქალაქი
აბულის საჯარო,ახალქალაქი
პატარა სამსარის საჯარო,ახალქალაქი
ბარალეთის №1 საჯარო,ახალქალაქი
დილისკის №2 საჯარო,ახალქალაქი
კარტიკამის საჯარო,ახალქალაქი
მერენიის საჯარო,ახალქალაქი
ბუღაშენის საჯარო,ახალქალაქი
ბურნაშეთის საჯარო,ახალქალაქი
№1,ახალქალაქი
№2,ახალქალაქი
№3,ახალქალაქი
№4,ახალქალაქი
№5,ახალქალაქი
აბულის საჯარო სკოლა,ახალქალაქი
აგანის საჯარო სკოლა,ახალქალაქი
აზავრეთის საჯარო სკოლა,ახალქალაქი
აზმანის საჯარო სკოლა,ახალქალაქი
ალათუმანის საჯარო სკოლა,ახალქალაქი
ალასტანის საჯარო სკოლა,ახალქალაქი
არაგვის საჯარო სკოლა,ახალქალაქი
აფნიის საჯარო სკოლა,ახალქალაქი
ბავრის საჯარო სკოლა,ახალქალაქი
ბალხოს საჯარო სკოლა,ახალქალაქი
ბარალეთის №1 საჯარო სკოლა,ახალქალაქი
ბარალეთის №2 საჯარო სკოლა,ახალქალაქი
ბეჟანოს საჯარო სკოლა,ახალქალაქი
ბოზალის საჯარო სკოლა,ახალქალაქი
ბუზავეთის საჯარო სკოლა,ახალქალაქი
ბურნაშეთის საჯარო სკოლა,ახალქალაქი
ბუღაშენის საჯარო სკოლა,ახალქალაქი
გოგაშენის საჯარო სკოლა,ახალქალაქი
გოკიოს საჯარო სკოლა,ახალქალაქი
გომანის საჯარო სკოლა,ახალქალაქი
დადეშის საჯარო სკოლა,ახალქალაქი
დიდი სამსარის საჯარო სკოლა,ახალქალაქი
დილისკის №1 საჯარო სკოლა,ახალქალაქი
დილისკის №2 საჯარო სკოლა,ახალქალაქი
ვარევანის საჯარო სკოლა,ახალქალაქი
ვაჩიანის საჯარო სკოლა,ახალქალაქი
ზაკის საჯარო სკოლა,ახალქალაქი
თახჩის საჯარო სკოლა,ახალქალაქი
იხტილის საჯარო სკოლა,ახალქალაქი
კარტიკამის საჯარო სკოლა,ახალქალაქი
კარწახის საჯარო სკოლა,ახალქალაქი
კიროვაკანის საჯარო სკოლა,ახალქალაქი
კოთელიის საჯარო სკოლა,ახალქალაქი
კორხის საჯარო სკოლა,ახალქალაქი
კოჩიოს საჯარო სკოლა,ახალქალაქი
კულიკამის საჯარო სკოლა,ახალქალაქი
კუმურდოს საჯარო სკოლა,ახალქალაქი
ლომატურცხის საჯარო სკოლა,ახალქალაქი
მარტუნის საჯარო სკოლა,ახალქალაქი
მაჭატიის საჯარო სკოლა,ახალქალაქი
მერენიის საჯარო სკოლა,ახალქალაქი
მიასნიკიანის საჯარო სკოლა,ახალქალაქი
მოდეგამის საჯარო სკოლა,ახალქალაქი
მურჯახეთის საჯარო სკოლა,ახალქალაქი
ოკამის №1 საჯარო სკოლა,ახალქალაქი
ოკამის №2 საჯარო სკოლა,ახალქალაქი
ოლავერდის საჯარო სკოლა,ახალქალაქი
ორჯის საჯარო სკოლა,ახალქალაქი
პატარა სამსარის საჯარო სკოლა,ახალქალაქი
პტენის საჯარო სკოლა,ახალქალაქი
სულდის საჯარო სკოლა,ახალქალაქი
ტურცხის საჯარო სკოლა,ახალქალაქი
ქარცეფის საჯარო სკოლა,ახალქალაქი
ღადოლარის საჯარო სკოლა,ახალქალაქი
ჩამდურის საჯარო სკოლა,ახალქალაქი
ჩუნჩხის საჯარო სკოლა,ახალქალაქი
ხავეთის საჯარო სკოლა,ახალქალაქი
ხანდოს საჯარო სკოლა,ახალქალაქი
ხორენიის საჯარო სკოლა,ახალქალაქი
ხულგუმოს საჯარო სკოლა,ახალქალაქი
საჯარო,ახალქალაქი
სხვა სკოლა,ახალციხე
დიდი პამაჯის საჯარო,ახალციხე
ღრელის საჯარო,ახალციხე
წინუბნის საჯარო,ახალციხე
ჭვინთის საჯარო,ახალციხე
ჭაჭარაქის საჯარო,ახალციხე
წნისის საჯარო,ახალციხე
ურავლის საჯარო,ახალციხე
ვალის №2 საჯარო,ახალციხე
ზიკილიის საჯარო,ახალციხე
გურკელის საჯარო,ახალციხე
ანდრიაწმინდის საჯარო,ახალციხე
ტყემლანის საჯარო,ახალციხე
ფერსის საჯარო,ახალციხე
ხეოთის საჯარო,ახალციხე
წყალთბილის საჯარო,ახალციხე
№6 საჯარო,ახალციხე
საძელის საჯარო,ახალციხე
პატარა პამაჯის საჯარო,ახალციხე
ნაოხრების საჯარო,ახალციხე
მინაძის საჯარო,ახალციხე
№5 საჯარო,ახალციხე
ანის საჯარო,ახალციხე
№4 საჯარო,ახალციხე
მუსხის საჯარო,ახალციხე
კლდის საჯარო,ახალციხე
წყრუთის საჯარო,ახალციხე
№1 საჯარო,ახალციხე
ვალის №3 საჯარო,ახალციხე
სხვილისის საჯარო,ახალციხე
№2 საჯარო,ახალციხე
