ქალაქი,ID ქალაქი,სკოლა,ID სკოლა,სკოლის ფიქსირებული ID
აბაშა,5,1,1,1271
აბაშა,5,2,2,1258
აბაშა,5,განათლების კარი,3,1268
აბაშა,5,გეზათის,4,1265
აბაშა,5,ეწერის,5,1264
აბაშა,5,ზანათის,6,1273
აბაშა,5,კეთილარის,7,1252
აბაშა,5,კვათანის,8,1260
აბაშა,5,მაიდნის,9,1254
აბაშა,5,მარნის,17,1261
აბაშა,5,მაცხოვრისკარის,10,1600
აბაშა,5,ნაესაკოვოს,18,1259
აბაშა,5,ნოღოხაშის,19,1270
აბაშა,5,ონტოფოს,20,1262
აბაშა,5,პირველი მაისის,11,1272
აბაშა,5,საგვაზავოს,21,1266
აბაშა,5,სამიქაოს,22,1253
აბაშა,5,სეფიეთის,12,1256
აბაშა,5,სუჯუნის,13,1267
აბაშა,5,ტყვირის,23,1255
აბაშა,5,ქოლობნის,14,1263
აბაშა,5,ძველი აბაშის,15,1257
აბაშა,5,წყემის,16,1251
ადიგენი,6,2,24,3002
ადიგენი,6,აბასთუმნის,25,1840
ადიგენი,6,არალის,26,1842
ადიგენი,6,არლის,27,1842
ადიგენი,6,ბენარის,28,1843
ადიგენი,6,გომაროს,29,1845
ადიგენი,6,დაბა აბასთუმნის,30,1840
ადიგენი,6,დაბა ადიგენის,31,1846
ადიგენი,6,დიდი სმადის,32,1848
ადიგენი,6,ვარხანის,33,1849
ადიგენი,6,ზანავის,34,1850
ადიგენი,6,იმერთუბნის,35,3004
ადიგენი,6,კახარეთის,36,1852
ადიგენი,6,ლელოვნის,37,1853
ადიგენი,6,მოხის,38,1855
ადიგენი,6,სმადის,39,1848
ადიგენი,6,უდის 1,40,1856
ადიგენი,6,უდის 2,41,1857
ადიგენი,6,ღორძის,42,3007
ადიგენი,6,წახანის,43,1861
ადიგენი,6,ხევაშენის,44,1864
ადიგენი,6,ჯახარეთის,45,
ამბროლაური,7,2,46,1867
ამბროლაური,7,ბუგეულის,47,1869
ამბროლაური,7,მეორე ტოლის,48,3008
ამბროლაური,7,ჭრებალოს,49,1884
ასპინძა,8,1,50,1890
ასპინძა,8,დაბა ასპინძის,51,1890
ასპინძა,8,ზველის,52,1892
ასპინძა,8,იდუმალის,53,1893
ასპინძა,8,ივერიის,54,1894
ასპინძა,8,მირაშხანის,55,1895
ასპინძა,8,ნაქალაქევის,56,1896
ასპინძა,8,ოთის,57,1898
ასპინძა,8,ორგორის,58,1899
ასპინძა,8,ოშორის,59,1900
ასპინძა,8,რუსთავის,60,1901
ასპინძა,8,საროს,61,1902
ასპინძა,8,სოფელ რუსთავის,62,1901
ასპინძა,8,ტოლოშის,63,1903
ასპინძა,8,ჭობარეთის,64,1904
ასპინძა,8,ხერთვისის,65,1905
ასპინძა,8,ხიზაბავრის,66,1906
ახალქალაქი,9,2,67,1908
ახალქალაქი,9,3,68,1909
ახალქალაქი,9,4,69,1910
ახალქალაქი,9,გოგაშენის,70,1929
ახალქალაქი,9,ილია ჭავჭავაძის,71,1909
ახალქალაქი,9,ოკამის 1,72,1956
ახალქალაქი,9,საჯარო,73,3010
ახალქალაქი,9,ხულგუმოს,74,1971
ახალციხე,10,1,75,446
ახალციხე,10,2,76,449
ახალციხე,10,3,77,455
ახალციხე,10,4,78,442
ახალციხე,10,5,79,440
ახალციხე,10,6,80,435
ახალციხე,10,ანდრია პირველწოდებულის,81,430
ახალციხე,10,ანდრიაწმინდის,82,430
ახალციხე,10,ანის,83,441
ახალციხე,10,არლის,84,3011
ახალციხე,10,ასპინძის,85,1890
ახალციხე,10,აწყურის,86,454
ახალციხე,10,ბენარის,87,1843
ახალციხე,10,გურკელის,88,429
ახალციხე,10,დიდი პამაჯის,89,420
ახალციხე,10,დიდი ჰამაჯის,90,420
ახალციხე,10,ვალეს 1,91,452
ახალციხე,10,ვალეს 2,92,427
ახალციხე,10,ვალეს 3,93,447
ახალციხე,10,ვარხანის,94,3012
ახალციხე,10,ზარზმის,95,1851
ახალციხე,10,ზიკილიის,96,428
ახალციხე,10,თისელის,97,451
ახალციხე,10,კლდის,98,444
ახალციხე,10,ლელოვნის,99,1853
ახალციხე,10,მზექა,100,3014
ახალციხე,10,მინაძის,101,439
ახალციხე,10,მუსხის,102,443
ახალციხე,10,საყუნეთის,103,453
ახალციხე,10,სვირის,104,3015
ახალციხე,10,სხვილისის,105,448
ახალციხე,10,ურავლის,106,426
ახალციხე,10,ურვალის,107,432
ახალციხე,10,ფერსის,108,432
ახალციხე,10,ღრელის,109,421
ახალციხე,10,წინუბნის,110,422
ახალციხე,10,წნისის,111,425
ახალციხე,10,წყალთბილის,112,434
ახალციხე,10,ჭვინთის,113,423
ახალციხე,10,ჭობისხევის,114,3016
ახალციხე,10,ხეოთის,115,433
ახალციხე,10,ხერხემის,116,742
ახმეტა,11,1,117,1973
ახმეტა,11,2,118,1974
ახმეტა,11,3,119,1975
ახმეტა,11,არგოხის საბაზო,120,3018
ახმეტა,11,აწყურის,121,1976
ახმეტა,11,დუისის,122,1978
ახმეტა,11,ზემო ალვნის 1,123,1980
ახმეტა,11,ზემო ალვნის 2,124,1981
ახმეტა,11,მატნის,125,1983
ახმეტა,11,მატნის 2,126,1984
ახმეტა,11,მაღრაანის,127,1985
ახმეტა,11,ნადუქნარის,128,1986
ახმეტა,11,ოჟიოს,129,1988
ახმეტა,11,საკობიანოს,130,1990
ახმეტა,11,ქვემო ალვანის,131,1991
ახმეტა,11,ქისტაურის,132,1992
ახმეტა,11,ყვარელწყლის,133,1993
ახმეტა,11,ხორხელის,134,1994
ბათუმი,3,1,135,1830
ბათუმი,3,10,144,258
ბათუმი,3,11,145,274
ბათუმი,3,13,146,267
ბათუმი,3,14,147,264
ბათუმი,3,15,148,259
ბათუმი,3,16,149,261
ბათუმი,3,17,150,268
ბათუმი,3,18,151,257
ბათუმი,3,2,136,1831
ბათუმი,3,20,152,269
ბათუმი,3,21,153,3021
ბათუმი,3,21 საუკუნე,163,650
ბათუმი,3,22,154,256
ბათუმი,3,23,155,277
ბათუმი,3,25,156,260
ბათუმი,3,26,157,275
ბათუმი,3,27,158,278
ბათუმი,3,28,159,279
ბათუმი,3,29,160,276
ბათუმი,3,3,137,1832
ბათუმი,3,30,161,254
ბათუმი,3,31,162,270
ბათუმი,3,4,138,272
ბათუმი,3,5,139,263
ბათუმი,3,6,140,265
ბათუმი,3,7,141,266
ბათუმი,3,8,142,255
ბათუმი,3,9,143,273
ბათუმი,3,აიენტი,164,3023
ბათუმი,3,ანდრია პირველწოდებულის,165,658
ბათუმი,3,არილი,166,664
ბათუმი,3,ასლან შაინიძის,167,3024
ბათუმი,3,აჭარისწყლის,168,2577
ბათუმი,3,ახალ ლიის საჯარო,169,
ბათუმი,3,ახალსოფლის,170,2578
ბათუმი,3,ახალშენის 1,171,2579
ბათუმი,3,ახალშენის 2,172,2580
ბათუმი,3,ახოს,173,2594
ბათუმი,3,ბავშვთა სახლი,174,
ბათუმი,3,ბენზეს,175,
ბათუმი,3,განათლება,176,657
ბათუმი,3,განთიადის,177,3028
ბათუმი,3,გიმნაზია,178,661
ბათუმი,3,გორდა,179,663
ბათუმი,3,გრიგოლ ხანძთელის,180,2467
ბათუმი,3,დაბა შუახევის,181,4163
ბათუმი,3,დავით აღმაშენებლის გიმნაზია,182,
ბათუმი,3,ევრო 2000,183,660
ბათუმი,3,ერგეს,184,2583
ბათუმი,3,ზედა აჭყვას,185,1321
ბათუმი,3,ზედა ახალშენის,186,2585
ბათუმი,3,ზედა განთიადის,187,2584
ბათუმი,3,ზედა თხილნარის,188,2586
ბათუმი,3,ზედა კირნათის,189,2591
ბათუმი,3,ზედა ჩხუტუნეთის,190,2605
ბათუმი,3,ზემო ახალშენის,191,2585
ბათუმი,3,ზემო წინსვლის,192,2587
ბათუმი,3,თაობა 21,193,651
ბათუმი,3,თხილნარის 1,194,2588
